YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,RH2M
1991,12,4,10.86,2.65,6.76,11.3,10.58,16.85,6.27,60.06
1991,12,5,12.01,0.39,6.2,12.23,11.34,18.15,6.8,45.94
1991,12,6,13.69,0.57,7.13,13.31,9.55,20.0,10.45,41.75
1991,12,7,12.93,1.95,7.44,12.61,13.23,20.23,7.0,48.75
1991,12,8,11.94,1.34,6.64,11.66,10.39,17.93,7.54,50.19
1991,12,9,8.82,-0.01,4.4,8.98,9.91,14.37,4.45,57.0
1991,12,10,9.07,-1.52,3.77,8.98,9.75,14.35,4.6,49.12
1991,12,11,10.84,-0.42,5.21,10.05,11.23,17.94,6.71,47.19
1991,12,12,8.75,2.1,5.43,9.01,9.98,14.57,4.58,66.75
1991,12,13,7.71,1.17,4.44,7.91,10.97,13.94,2.98,66.12
1991,12,14,8.05,1.06,4.56,8.19,10.8,13.87,3.06,64.19
1991,12,15,8.59,2.31,5.45,8.65,11.48,14.96,3.48,67.25
1991,12,16,8.62,2.72,5.67,8.59,11.79,15.07,3.28,70.56
1991,12,17,8.15,-1.31,3.42,8.38,13.15,16.26,3.12,58.5
1991,12,18,7.93,-1.45,3.24,7.81,14.41,15.98,1.57,54.38
1991,12,19,9.73,4.08,6.9,10.12,12.2,16.45,4.26,70.62
1991,12,20,9.3,-0.35,4.48,9.58,10.09,14.94,4.85,53.44
1991,12,21,9.34,3.12,6.23,9.26,9.82,15.4,5.58,67.38
1991,12,22,9.72,4.53,7.12,9.56,12.28,16.88,4.59,73.06
1991,12,23,10.77,0.1,5.44,10.3,13.89,18.59,4.7,56.06
1991,12,24,11.44,-0.12,5.66,11.25,10.42,17.05,6.62,45.44
1991,12,25,11.35,5.76,8.55,11.74,8.98,16.33,7.36,69.75
1991,12,26,9.23,1.51,5.37,9.14,11.77,16.03,4.26,61.88
1991,12,27,8.51,1.15,4.83,8.35,10.09,14.4,4.3,61.75
1991,12,28,7.19,0.29,3.74,7.15,11.41,13.56,2.15,63.81
1991,12,29,8.29,-1.63,3.33,6.53,10.43,14.13,3.71,51.69
1991,12,30,8.68,-2.64,3.01,7.55,10.22,14.65,4.43,46.25
1991,12,31,6.86,1.17,4.01,7.15,9.29,12.51,3.22,70.12
1992,1,1,7.48,2.17,4.83,7.67,11.56,13.49,1.93,71.38
1992,1,2,6.0,-0.77,2.61,6.15,8.13,9.97,1.83,65.25
1992,1,3,6.65,0.8,3.72,6.8,12.27,13.06,0.8,68.12
1992,1,4,8.55,2.45,5.5,8.74,10.72,15.19,4.48,67.88
1992,1,5,8.05,1.26,4.66,8.08,13.36,15.96,2.6,65.88
1992,1,6,7.51,-0.27,3.62,7.3,11.95,13.95,2.0,62.0
1992,1,7,8.56,5.02,6.8,8.89,11.82,15.33,3.51,79.12
1992,1,8,9.18,4.53,6.85,9.36,11.3,16.02,4.71,74.81
1992,1,9,9.14,2.89,6.01,9.41,11.92,16.3,4.37,66.88
1992,1,10,10.11,3.58,6.84,10.04,10.95,16.27,5.33,67.56
1992,1,11,9.35,4.9,7.12,9.53,10.71,15.66,4.95,76.06
1992,1,12,9.65,4.57,7.12,9.95,13.09,16.37,3.27,72.88
1992,1,13,10.89,4.95,7.92,11.04,11.36,17.4,6.04,68.81
1992,1,14,9.57,3.67,6.62,9.78,13.68,17.31,3.63,70.12
1992,1,15,9.12,3.08,6.1,9.26,13.26,16.35,3.09,69.25
1992,1,16,9.15,3.3,6.23,9.35,12.45,16.2,3.76,70.38
1992,1,17,8.58,2.72,5.65,8.99,11.37,14.83,3.47,69.81
1992,1,18,8.11,0.02,4.07,8.01,12.42,15.0,2.58,59.94
1992,1,19,9.71,-0.75,4.48,8.9,12.22,16.15,3.93,50.69
1992,1,20,9.65,-0.96,4.35,9.39,12.99,17.05,4.07,49.69
1992,1,21,9.06,1.29,5.18,9.08,14.02,16.87,2.86,62.25
1992,1,22,9.16,0.22,4.69,9.16,14.64,16.99,2.35,56.06
1992,1,23,9.2,2.26,5.73,9.61,11.55,15.58,4.03,65.44
1992,1,24,8.24,-0.47,3.89,8.74,13.78,15.58,1.8,58.31
1992,1,25,10.22,-2.64,3.79,10.76,15.35,18.44,3.09,45.75
1992,1,26,10.59,-1.3,4.65,10.98,10.27,16.89,6.62,45.44
1992,1,27,9.54,-2.35,3.59,9.96,13.52,16.89,3.37,46.94
1992,1,28,13.02,-4.24,4.39,12.8,18.04,23.42,5.38,30.88
1992,1,29,11.76,-0.45,5.65,11.87,10.06,17.69,7.63,44.5
1992,1,30,9.4,2.62,6.01,9.93,11.56,15.8,4.23,64.25
1992,1,31,7.83,0.06,3.95,8.24,11.81,14.24,2.43,61.38
1992,2,1,8.05,0.4,4.22,8.47,13.12,15.23,2.1,60.62
1992,2,2,8.97,0.79,4.88,9.04,12.21,15.76,3.55,59.31
1992,2,3,8.47,-1.88,3.29,8.33,10.27,14.24,3.96,50.12
1992,2,4,6.05,-4.89,0.58,6.41,11.55,12.53,0.98,48.38
1992,2,5,6.35,-2.78,1.79,6.65,13.95,13.89,-0.06,54.94
1992,2,6,7.82,-3.28,2.27,7.71,14.87,15.87,1.01,49.81
1992,2,7,8.72,1.51,5.12,9.15,10.91,15.26,4.34,64.38
1992,2,8,8.69,0.17,4.44,9.23,12.54,15.3,2.76,58.88
1992,2,9,8.98,1.9,5.44,9.49,12.65,15.54,2.89,63.75
1992,2,10,5.83,-2.14,1.84,6.64,8.4,10.96,2.57,60.12
1992,2,11,6.08,-2.43,1.83,6.48,13.52,13.2,-0.32,56.94
1992,2,12,7.17,-5.63,0.77,6.99,13.6,14.26,0.66,42.5
1992,2,13,8.04,-1.84,3.1,8.19,14.46,15.6,1.13,53.56
1992,2,14,9.68,-3.93,2.87,9.35,15.04,17.43,2.39,39.81
1992,2,15,12.19,-2.48,4.85,10.06,12.76,18.72,5.96,37.56
1992,2,16,12.3,-1.52,5.38,11.36,14.0,19.56,5.56,41.38
1992,2,17,10.33,3.65,7.0,10.83,11.14,16.9,5.76,66.81
1992,2,18,10.92,1.18,6.05,11.29,14.39,18.73,4.33,55.88
1992,2,19,13.03,-0.83,6.1,12.44,12.57,20.75,8.18,40.44
1992,2,20,11.4,2.99,7.2,12.12,13.36,18.68,5.31,58.94
1992,2,21,14.21,0.8,7.51,14.63,18.09,23.45,5.37,45.69
1992,2,22,17.51,-2.42,7.55,17.24,12.12,24.88,12.76,28.56
1992,2,23,9.44,-1.19,4.12,10.25,7.88,12.91,5.03,50.81
1992,2,24,4.85,-4.49,0.18,5.23,7.42,8.3,0.88,50.88
1992,2,25,7.45,0.27,3.87,7.87,10.65,12.94,2.29,60.69
1992,2,26,7.55,-0.28,3.63,8.36,12.56,14.22,1.65,62.0
1992,2,27,8.26,-0.65,3.8,9.23,13.24,15.51,2.27,57.69
1992,2,28,8.8,-1.06,3.87,9.67,13.29,15.76,2.48,54.06
1992,2,29,9.6,-1.35,4.13,10.29,13.8,16.89,3.08,49.38
1992,3,1,9.75,-0.49,4.63,10.54,14.34,17.21,2.88,53.19
1992,3,2,9.41,-0.85,4.28,10.08,12.83,16.28,3.45,54.31
1992,3,3,9.97,-2.03,3.97,10.59,15.45,18.21,2.76,47.25
1992,3,4,11.43,-0.88,5.27,11.92,16.12,20.08,3.96,48.06
1992,3,5,10.53,1.23,5.88,11.4,13.62,17.9,4.29,57.25
1992,3,6,12.32,0.26,6.3,13.03,16.41,20.94,4.53,47.06
1992,3,7,13.23,-2.12,5.55,13.89,16.4,22.01,5.62,37.94
1992,3,8,13.99,-2.83,5.58,14.86,16.39,22.36,5.97,33.44
1992,3,9,14.93,0.31,7.62,15.62,12.74,22.05,9.3,38.69
1992,3,10,14.74,0.84,7.8,15.01,11.95,21.73,9.78,40.81
1992,3,11,19.0,-1.49,8.75,19.06,20.1,29.48,9.39,27.75
1992,3,12,21.36,1.29,11.33,21.64,14.73,29.62,14.9,27.31
1992,3,13,15.24,5.52,10.38,15.48,4.59,17.17,12.58,52.62
1992,3,14,12.88,0.99,6.94,13.75,10.12,18.08,7.97,45.06
1992,3,15,11.29,0.26,5.77,12.66,14.16,18.43,4.27,49.56
1992,3,16,12.5,-2.83,4.83,13.26,14.1,20.12,6.01,37.19
1992,3,17,13.22,-2.57,5.32,13.98,15.7,21.26,5.57,35.94
1992,3,18,15.18,-0.85,7.17,16.01,15.33,22.83,7.51,35.19
1992,3,19,13.5,1.15,7.33,15.4,13.77,20.54,6.76,45.25
1992,3,20,12.86,-1.8,5.53,14.51,14.48,20.33,5.86,38.62
1992,3,21,13.5,-3.34,5.08,14.54,13.44,20.1,6.66,32.69
1992,3,22,13.58,-0.35,6.62,14.94,13.06,20.55,7.48,40.44
1992,3,23,14.06,-0.29,6.89,15.57,14.96,21.98,7.02,40.25
1992,3,24,16.04,-1.36,7.34,17.37,16.02,24.15,8.13,33.44
