YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
1990,7,14,97.29,3.74,5.11,2.86,2.25,283.94,5.45,7.27,3.34,3.94,283.5
1990,7,15,97.57,3.78,5.0,2.77,2.23,168.94,5.33,7.05,4.38,2.66,169.12
1990,7,16,97.68,6.0,7.55,3.91,3.64,68.5,8.41,11.3,5.97,5.34,68.88
1990,7,17,97.44,5.42,7.38,3.45,3.92,275.44,7.48,10.95,5.72,5.23,275.5
1990,7,18,97.19,4.48,5.53,2.74,2.79,305.81,6.2,9.47,4.5,4.97,305.94
1990,7,19,97.26,4.33,5.97,2.55,3.42,219.5,6.13,9.2,4.4,4.8,219.5
1990,7,20,97.35,4.06,4.83,3.27,1.55,317.25,6.2,8.54,4.19,4.36,317.0
1990,7,21,97.28,4.56,6.15,3.84,2.31,338.62,7.03,9.68,4.11,5.57,338.31
1990,7,22,97.29,4.14,5.56,2.95,2.62,243.0,6.22,9.24,4.29,4.95,257.5
1990,7,23,97.49,4.28,6.18,3.08,3.1,314.62,6.34,8.05,3.73,4.33,314.44
1990,7,24,97.56,3.94,5.25,3.0,2.25,310.31,5.77,7.33,3.77,3.56,310.81
1990,7,25,97.46,4.34,6.23,2.94,3.29,314.75,6.28,8.33,4.47,3.86,314.62
1990,7,26,97.38,4.2,5.66,3.1,2.57,337.88,6.12,7.94,4.27,3.66,337.75
1990,7,27,97.46,3.58,4.26,2.78,1.47,343.19,5.26,7.81,3.73,4.08,343.31
1990,7,28,97.55,4.23,6.36,3.2,3.16,333.44,6.08,7.3,3.79,3.52,333.19
1990,7,29,97.54,4.65,6.27,3.21,3.05,329.5,6.86,8.43,4.91,3.52,329.19
1990,7,30,97.63,4.63,5.63,2.84,2.79,237.12,6.27,8.61,4.74,3.87,236.81
1990,7,31,97.68,4.48,6.12,3.0,3.12,301.69,6.45,7.59,5.22,2.37,286.75
1990,8,1,97.62,4.19,5.93,2.9,3.02,310.69,6.2,7.78,3.94,3.84,310.44
1990,8,2,97.52,3.52,4.11,2.53,1.58,231.31,5.03,7.35,3.88,3.47,231.25
1990,8,3,97.44,3.79,4.61,2.79,1.82,346.5,5.47,8.09,4.11,3.98,346.75
1990,8,4,97.46,4.41,6.14,3.0,3.14,190.69,6.37,9.3,4.26,5.05,176.0
1990,8,5,97.46,4.11,5.71,2.38,3.33,274.25,6.05,9.17,3.42,5.75,274.44
1990,8,6,97.56,6.77,8.5,4.34,4.16,235.69,9.27,10.78,7.85,2.93,236.12
1990,8,7,97.64,5.38,7.26,3.73,3.52,213.25,7.67,10.08,5.51,4.57,213.06
1990,8,8,97.62,4.81,6.09,3.4,2.69,260.25,6.99,8.12,6.23,1.88,275.31
1990,8,9,97.56,4.62,6.01,3.45,2.56,245.19,6.73,8.95,4.86,4.09,245.06
1990,8,10,97.55,4.96,7.27,3.2,4.06,305.38,7.39,10.19,4.52,5.67,305.44
1990,8,11,97.64,5.54,7.09,3.58,3.51,204.38,7.97,10.49,5.88,4.62,219.44
1990,8,12,97.73,5.44,7.3,3.78,3.52,216.75,7.8,9.88,5.96,3.91,216.69
1990,8,13,97.74,5.3,6.8,3.71,3.09,218.38,7.62,9.66,6.47,3.19,233.31
